"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","ISO","GB/FB","LD%","GB%","FB%","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Brett Gardner","NYY","141","550","28","86","74","10","9.5%","19.6%",".253",".265",".251",".325",".503",".344",".291","115","4.6","15.0","2.5","3.6",".253","1.16","17.6%","44.2%","38.2%","115","24.8%","56.0%","38.3%","67.6%","91.2%","46.4%","32.9%","20.7%","20.5%","45.1%","34.5%","9927"
"Jose Abreu","CHW","159","693","33","85","123","2","5.2%","21.9%",".219",".320",".284",".330",".503",".344",".355","116","-5.3","9.0","-15.0","1.8",".219","1.45","21.7%","46.3%","31.9%","116","37.3%","67.1%","49.5%","62.1%","89.2%","44.3%","29.7%","26.0%","15.7%","43.7%","40.7%","15676"
"Eloy Jimenez","CHW","122","504","31","69","79","0","6.0%","26.6%",".246",".308",".267",".315",".513",".343",".350","116","1.8","11.8","-11.0","1.8",".246","1.41","18.2%","47.9%","33.9%","116","36.7%","71.6%","49.9%","56.5%","80.2%","43.2%","33.6%","23.2%","18.2%","44.0%","37.8%","17484"
"Brian Anderson","MIA","126","520","20","57","66","5","8.5%","21.9%",".207",".305",".261",".342",".468",".342",".339","115","-0.3","10.1","5.0","3.1",".207","1.28","19.3%","45.4%","35.3%","115","34.8%","65.9%","47.5%","58.7%","87.1%","38.2%","32.8%","29.0%","19.5%","36.2%","44.3%","18289"
"Adam Eaton","WSN","151","656","15","103","49","15","9.9%","16.2%",".148",".319",".279",".365",".428",".342",".324","108","3.5","10.3","-7.0","2.4",".148","0.98","20.0%","39.6%","40.4%","108","28.2%","63.2%","43.1%","72.3%","91.4%","32.8%","35.2%","32.0%","19.5%","46.4%","34.1%","11205"
"Eduardo Escobar","ARI","158","699","35","94","118","5","7.2%","18.6%",".242",".283",".269",".320",".511",".341",".325","108","2.9","10.5","3.9","3.6",".242","0.73","22.7%","32.8%","44.6%","108","40.8%","71.1%","52.5%","68.4%","85.0%","43.8%","35.5%","20.7%","12.8%","45.9%","41.3%","6153"
"Corey Seager","LAD","134","541","19","82","87","1","8.1%","18.1%",".211",".303",".272",".335",".483",".340",".329","113","3.4","12.7","4.1","3.3",".211","0.99","21.8%","39.0%","39.2%","113","30.7%","79.5%","51.1%","57.2%","86.9%","37.2%","34.7%","28.1%","14.7%","43.0%","42.3%","13624"
"Whit Merrifield","KCR","162","735","16","105","74","20","6.1%","17.1%",".160",".350",".302",".348",".463",".340",".317","110","1.5","10.9","-7.4","2.9",".160","1.14","28.5%","38.0%","33.5%","110","34.1%","69.1%","49.1%","73.4%","87.2%","36.6%","35.5%","28.0%","13.8%","47.8%","38.4%","11281"
"J.T. Realmuto","PHI","145","593","25","92","83","9","6.9%","20.7%",".217",".309",".275",".328",".493",".340",".340","108","5.4","12.0","27.8","5.7",".217","1.04","23.4%","39.0%","37.6%","108","34.8%","73.1%","50.7%","66.2%","86.2%","44.2%","31.7%","24.1%","14.2%","40.2%","45.6%","11739"
"Kevin Newman","PIT","130","531","12","61","64","16","5.3%","11.7%",".138",".333",".308",".353",".446",".339",".300","109","-0.2","6.4","0.5","2.3",".138","1.74","22.1%","49.4%","28.4%","109","37.3%","69.4%","50.7%","77.2%","94.3%","37.3%","34.1%","28.6%","20.3%","52.8%","27.0%","17696"
"Franmil Reyes","- - -","150","548","37","69","81","0","8.6%","28.5%",".263",".279",".249",".310",".512",".338",".360","109","-3.2","3.5","-11.5","1.0",".263","1.28","21.4%","44.1%","34.5%","109","34.3%","77.6%","51.5%","48.3%","76.8%","38.3%","38.6%","23.2%","13.9%","38.6%","47.5%","14566"
"Marcell Ozuna","STL","130","549","29","80","89","12","11.3%","20.8%",".231",".257",".241",".328",".472",".336",".375","109","1.6","8.0","0.0","2.5",".231","1.18","23.4%","41.4%","35.2%","109","30.0%","69.2%","44.9%","57.8%","86.0%","49.5%","31.7%","18.8%","11.8%","39.8%","48.4%","10324"
"Jonathan Villar","BAL","162","714","24","111","73","40","8.5%","24.6%",".179",".341",".274",".339",".453",".335",".312","109","10.5","18.6","-1.4","4.1",".179","1.56","19.8%","48.9%","31.3%","109","30.8%","75.1%","49.1%","63.5%","81.4%","39.6%","33.7%","26.7%","21.8%","49.2%","29.0%","10071"
"Manny Machado","SDP","156","661","32","81","85","5","9.8%","19.4%",".206",".274",".256",".334",".462",".335",".346","108","-1.7","5.5","4.9","3.1",".206","1.02","17.1%","41.8%","41.1%","108","31.4%","69.8%","46.6%","62.5%","87.6%","36.8%","36.1%","27.1%","19.0%","37.2%","43.7%","11493"
"Jose Ramirez","CLE","129","542","23","68","83","24","9.6%","13.7%",".224",".256",".255",".327",".479",".334",".342","105","6.7","10.4","5.7","3.4",".224","0.71","20.6%","32.9%","46.5%","105","26.4%","64.2%","42.3%","76.8%","92.3%","48.8%","29.2%","22.0%","17.9%","41.8%","40.3%","13510"
"Avisail Garcia","TBR","125","530","20","61","72","10","5.8%","23.6%",".182",".340",".282",".332",".464",".334",".343","112","-3.5","4.6","-4.2","1.9",".182","1.46","22.3%","46.0%","31.6%","112","40.0%","81.9%","56.4%","54.4%","80.6%","42.2%","36.5%","21.3%","18.5%","41.4%","40.1%","5760"
